unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay
AIR10471190;2019-6;92314;Big Bear City;2-5 Units;3;2;8;1969,779953;30;0,366666667;179,0709048;27,42857143;1,571428571
AIR10471190;2019-7;92314;Big Bear City;2-5 Units;3;2;8;3890,7799;31;0,774193548;162,1158291;36,25;3
AIR10471190;2019-8;92314;Big Bear City;2-5 Units;3;2;8;2618,039932;31;0,483870968;174,5359955;58,5;2,666666667
AIR10471190;2019-9;92314;Big Bear City;2-5 Units;3;2;8;1693,98996;30;0,3;188,2211066;38,75;2
AIR10524187;2019-1;92315;Big Bear Lake;Single Owners;4;2;7;1784;31;0,161290323;356,8;193;14
AIR10524187;2019-10;92315;Big Bear Lake;Single Owners;4;2;7;0;5;0;;;
AIR10524187;2019-2;92315;Big Bear Lake;Single Owners;4;2;7;795,8800049;28;0,142857143;198,9700012;136;4
AIR10524187;2019-3;92315;Big Bear Lake;Single Owners;4;2;7;0;31;0;;;
AIR10524187;2019-4;92315;Big Bear Lake;Single Owners;4;2;7;0;30;0;;;
AIR10524187;2019-5;92315;Big Bear Lake;Single Owners;4;2;7;0;31;0;;;
AIR10524187;2019-6;92315;Big Bear Lake;Single Owners;4;2;7;0;30;0;;;
AIR10524187;2019-7;92315;Big Bear Lake;Single Owners;4;2;7;0;31;0;;;
AIR10524187;2019-8;92315;Big Bear Lake;Single Owners;4;2;7;0;31;0;;;
AIR10524187;2019-9;92315;Big Bear Lake;Single Owners;4;2;7;0;30;0;;;
AIR10542265;2019-1;92314;Big Bear City;2-5 Units;3;1.5;10;0;31;0;;;
AIR10542265;2019-2;92314;Big Bear City;2-5 Units;3;1.5;10;0;28;0;;;
AIR10542265;2019-3;92314;Big Bear City;2-5 Units;3;1.5;10;0;31;0;;;
AIR10542265;2019-4;92314;Big Bear City;2-5 Units;3;1.5;10;0;30;0;;;
AIR10542265;2019-5;92314;Big Bear City;2-5 Units;3;1.5;10;0;4;0;;;
AIR10551482;2019-1;92314;Big Bear City;2-5 Units;5;4;15+;9473,589996;31;0,64516129;473,6794998;171,75;2,5
AIR10551482;2019-10;92314;Big Bear City;2-5 Units;5;4;15+;3174,600037;31;0,225806452;453,5142909;117,3333333;2,333333333
AIR10551482;2019-11;92314;Big Bear City;2-5 Units;5;4;15+;7874,360046;30;0,533333333;492,1475029;58,85714286;2,285714286
AIR10551482;2019-12;92314;Big Bear City;2-5 Units;5;4;15+;13868,68994;31;0,548387097;815,8052907;162,8571429;2,571428571
AIR10551482;2019-2;92314;Big Bear City;2-5 Units;5;4;15+;8174,749847;24;0,541666667;628,8269113;123,6;2,6
AIR10551482;2019-3;92314;Big Bear City;2-5 Units;5;4;15+;4794,439941;31;0,258064516;599,3049927;73,75;3,25
AIR10551482;2019-4;92314;Big Bear City;2-5 Units;5;4;15+;3374,600067;30;0,266666667;421,8250084;9;3
AIR10551482;2019-5;92314;Big Bear City;2-5 Units;5;4;15+;3874,51001;31;0,258064516;484,3137512;130,25;2
AIR10551482;2019-6;92314;Big Bear City;2-5 Units;5;4;15+;1099,880005;30;0,066666667;549,9400024;76;2
AIR10551482;2019-7;92314;Big Bear City;2-5 Units;5;4;15+;8084,099945;31;0,548387097;475,5352909;64,66666667;3,333333333
AIR10551482;2019-8;92314;Big Bear City;2-5 Units;5;4;15+;6434,279999;31;0,419354839;494,9446153;45,2;2,2
AIR10551482;2019-9;92314;Big Bear City;2-5 Units;5;4;15+;2749,700043;30;0,2;458,2833405;6,5;2,5
AIR10577529;2019-1;92315;Big Bear Lake;Professionals;3;2.5;8;2294,739944;29;0,448275862;176,5184573;21;2,857142857
AIR10577529;2019-2;92315;Big Bear Lake;Professionals;3;2.5;8;1674,819962;28;0,321428571;186,0911068;34,33333333;1,5
AIR10577529;2019-3;92315;Big Bear Lake;Professionals;3;2.5;8;974,8999786;31;0,161290323;194,9799957;9,8;1
AIR10577529;2019-4;92315;Big Bear Lake;Professionals;3;2.5;8;0;30;0;;;
AIR10577529;2019-5;92315;Big Bear Lake;Professionals;3;2.5;8;1359,839966;31;0,258064516;169,9799957;72;17
AIR10577529;2019-6;92315;Big Bear Lake;Professionals;3;2.5;8;1514,819962;17;0,529411765;168,3133291;;
AIR10577529;2019-7;92315;Big Bear Lake;Professionals;3;2.5;8;0;10;0;;;
AIR10634162;2019-1;92315;Big Bear Lake;Single Owners;3;2;8;0;31;0,032258065;;331;4
AIR10634162;2019-2;92315;Big Bear Lake;Single Owners;3;2;8;0;2;0;;;
AIR10833910;2019-1;92284;Yucca Valley;Single Owners;3;1;6;1401,849976;31;0,419354839;107,8346135;20;4,25
AIR10833910;2019-10;92284;Yucca Valley;Single Owners;3;1;6;3424,609917;31;1;110,4712876;;
AIR10833910;2019-11;92284;Yucca Valley;Single Owners;3;1;6;1749,789955;30;0,466666667;124,9849968;268;2
AIR10833910;2019-12;92284;Yucca Valley;Single Owners;3;1;6;1254,929985;31;0,290322581;139,436665;159,5;5
AIR10833910;2019-2;92284;Yucca Valley;Single Owners;3;1;6;990,8899841;28;0,321428571;110,0988871;6;2,75
AIR10833910;2019-3;92284;Yucca Valley;Single Owners;3;1;6;1759,789955;31;0,35483871;159,980905;14,83333333;2,333333333
AIR10833910;2019-4;92284;Yucca Valley;Single Owners;3;1;6;1804,789955;30;0,5;120,3193303;28,5;2,5
AIR10833910;2019-5;92284;Yucca Valley;Single Owners;3;1;6;1124,879974;31;0,193548387;187,4799957;7,25;1,5
AIR10833910;2019-6;92284;Yucca Valley;Single Owners;3;1;6;0;30;0;;;
AIR10833910;2019-7;92284;Yucca Valley;Single Owners;3;1;6;329,9599915;31;0,064516129;164,9799957;48;2
AIR10833910;2019-8;92284;Yucca Valley;Single Owners;3;1;6;1474,829964;31;0,419354839;113,4484587;169;84
AIR10833910;2019-9;92284;Yucca Valley;Single Owners;3;1;6;3329,619919;30;1;110,9873306;;
AIR1096822;2019-1;92284;Yucca Valley;Single Owners;3;3.5;8;8993,379761;31;1;290,1090245;132;10,66666667
AIR1096822;2019-10;92284;Yucca Valley;Single Owners;3;3.5;8;0;31;0;;;
AIR1096822;2019-11;92284;Yucca Valley;Single Owners;3;3.5;8;6000;30;0,5;400;21,16666667;2,5
AIR1096822;2019-12;92284;Yucca Valley;Single Owners;3;3.5;8;2300;31;0,258064516;287,5;22;1,8
AIR1096822;2019-2;92284;Yucca Valley;Single Owners;3;3.5;8;7565,220032;27;0,962962963;290,9700012;140,75;6,5
AIR1096822;2019-3;92284;Yucca Valley;Single Owners;3;3.5;8;4364,439911;31;0,483870968;290,9626607;15,42857143;2,142857143
AIR1096822;2019-4;92284;Yucca Valley;Single Owners;3;3.5;8;4073,509949;30;0,466666667;290,9649963;51,8;2,8
AIR1096822;2019-5;92284;Yucca Valley;Single Owners;3;3.5;8;1699,839966;31;0,129032258;424,9599915;1;4
AIR1096822;2019-6;92284;Yucca Valley;Single Owners;3;3.5;8;0;30;0;;;
AIR1096822;2019-7;92284;Yucca Valley;Single Owners;3;3.5;8;290,9700012;28;0,035714286;290,9700012;359;1
AIR1096822;2019-8;92284;Yucca Valley;Single Owners;3;3.5;8;0;31;0;;;
AIR1096822;2019-9;92284;Yucca Valley;Single Owners;3;3.5;8;0;30;0;;;
AIR11098028;2019-1;92315;Big Bear Lake;Professionals;3;2;8;1671,839966;10;0,8;208,9799957;15,14285714;1,142857143
AIR11098028;2019-10;92315;Big Bear Lake;Professionals;3;2;8;3005,71994;27;0,518518519;214,6942814;50,55555556;1,444444444
AIR11098028;2019-11;92315;Big Bear Lake;Professionals;3;2;8;2020,899979;23;0,391304348;224,5444421;71,85714286;1,285714286
AIR11098028;2019-12;92315;Big Bear Lake;Professionals;3;2;8;836;12;0,333333333;209;4,666666667;1,333333333
AIR11098028;2019-2;92315;Big Bear Lake;Professionals;3;2;8;835,9199829;6;0,666666667;208,9799957;20;1
AIR11098028;2019-3;92315;Big Bear Lake;Professionals;3;2;8;2481,749969;19;0,578947368;225,6136336;29,66666667;1,222222222
AIR11098028;2019-4;92315;Big Bear Lake;Professionals;3;2;8;4045,639938;27;0,703703704;212,9284178;87,84615385;1,461538462
AIR11098028;2019-5;92315;Big Bear Lake;Professionals;3;2;8;1353,879974;26;0,230769231;225,6466624;31;1,2
AIR11098028;2019-6;92315;Big Bear Lake;Professionals;3;2;8;3383,679932;18;0,888888889;211,4799957;12,625;2
AIR11098028;2019-7;92315;Big Bear Lake;Professionals;3;2;8;2109,799957;11;0,909090909;210,9799957;53,625;1,25
AIR11098028;2019-8;92315;Big Bear Lake;Professionals;3;2;8;1880,819962;15;0,6;208,9799957;94,25;2,25
AIR11098028;2019-9;92315;Big Bear Lake;Professionals;3;2;8;2607,759949;26;0,461538462;217,3133291;28,4;1,3
AIR11098161;2019-1;92315;Big Bear Lake;Professionals;3;2;8;1671,839966;10;0,8;208,9799957;15,14285714;1,142857143
