unified_id;month;hot_tub;pool
AIR31202634;2022-12;1;1
AIR31240072;2022-12;1;0
AIR31255460;2022-12;1;0
AIR31262574;2022-12;0;0
AIR31263152;2022-12;1;0
AIR31296794;2022-12;0;0
AIR313045;2022-12;1;0
AIR31337308;2022-12;0;0
AIR31341498;2022-12;1;0
AIR31467374;2022-12;1;0
AIR31495623;2022-12;1;1
AIR31546598;2022-12;1;0
AIR3158415;2022-12;1;0
AIR31595540;2022-12;0;0
AIR31642557;2022-12;0;0
AIR31716068;2022-12;1;0
AIR31721957;2022-12;0;0
AIR31763631;2022-12;0;0
AIR31884589;2022-12;1;1
AIR31933988;2022-12;0;1
AIR32017620;2022-12;0;0
AIR3210000;2022-12;0;0
AIR32139270;2022-12;0;0
AIR32171572;2022-12;0;0
AIR32185269;2022-12;1;0
AIR32357745;2022-12;1;0
AIR32388975;2022-12;1;0
AIR32439228;2022-12;0;0
AIR32449440;2022-12;0;0
AIR32550030;2022-12;1;0
AIR32571750;2022-12;1;0
AIR32628779;2022-12;1;0
AIR32645410;2022-12;1;0
AIR32670206;2022-12;0;1
AIR32670648;2022-12;0;1
AIR32699838;2022-12;0;0
AIR3272187;2022-12;1;0
AIR32724453;2022-12;0;0
AIR32725441;2022-12;1;0
AIR32762447;2022-12;1;0
AIR32769471;2022-12;1;0
AIR32771094;2022-12;1;0
AIR32772145;2022-12;0;0
AIR32841072;2022-12;1;0
AIR32844520;2022-12;0;1
AIR32912934;2022-12;1;1
AIR32943268;2022-12;1;0
AIR33095563;2022-12;0;0
AIR33100094;2022-12;1;0
AIR33218597;2022-12;0;0
AIR33279054;2022-12;0;0
AIR33424543;2022-12;1;0
AIR33472322;2022-12;1;0
AIR33529742;2022-12;1;0
AIR33640083;2022-12;0;0
AIR33678212;2022-12;0;0
AIR3374385;2022-12;1;0
AIR33779338;2022-12;1;0
AIR33804714;2022-12;0;0
AIR33804716;2022-12;0;1
AIR33852584;2022-12;1;0
AIR33914758;2022-12;1;0
AIR33932738;2022-12;1;0
AIR33972989;2022-12;1;0
AIR34091101;2022-12;1;1
AIR34206244;2022-12;1;0
AIR34228566;2022-12;1;0
AIR34229576;2022-12;0;0
AIR34263332;2022-12;0;0
AIR34263928;2022-12;0;0
AIR34340575;2022-12;1;0
AIR34546532;2022-12;0;0
AIR34548122;2022-12;1;0
AIR34675732;2022-12;0;0
AIR34784703;2022-12;0;0
AIR34811266;2022-12;0;0
AIR34906870;2022-12;1;0
AIR34914796;2022-12;0;0
AIR34938980;2022-12;0;0
AIR34943505;2022-12;0;0
AIR35032874;2022-12;1;0
AIR35092841;2022-12;0;0
AIR3511262;2022-12;0;0
AIR35137044;2022-12;0;0
AIR35161526;2022-12;1;0
AIR35238736;2022-12;0;0
AIR35291294;2022-12;0;0
AIR35380879;2022-12;1;0
AIR35577610;2022-12;1;0
AIR35676751;2022-12;1;0
AIR35802813;2022-12;0;0
AIR3582281;2022-12;1;0
AIR35831339;2022-12;0;0
AIR35840139;2022-12;1;0
AIR35840737;2022-12;0;0
AIR35878996;2022-12;0;0
AIR35904573;2022-12;1;0
AIR35907704;2022-12;0;0
AIR35918724;2022-12;1;0
AIR35950977;2022-12;1;0
AIR35976750;2022-12;1;0
AIR36064932;2022-12;0;0
