unified_id;month;street_name;latitude;longitude
AIR30763903;2022-12;;34,24774;-116,87654
AIR30792412;2022-12;;34,2329;-116,86536
AIR30881441;2022-12;;34,17079;-116,36136
AIR30886430;2022-12;;34,24747;-116,86738
AIR30936332;2022-12;;34,13145;-116,2277
AIR30962543;2022-12;;34,26835;-116,85168
AIR30998195;2022-12;;34,24252;-116,887
AIR31056450;2022-12;;34,16195;-116,31459
AIR31058298;2022-12;;34,13341;-116,30844
AIR31084278;2022-12;;34,23569;-116,85455
AIR31121936;2022-12;;34,23346;-116,86538
AIR31175820;2022-12;;34,12083;-116,33665
AIR31191498;2022-12;;34,14625;-116,37464
AIR31193851;2022-12;;34,22898;-116,83953
AIR31194867;2022-12;;34,23273;-116,85527
AIR31202518;2022-12;;34,26027;-116,83202
AIR31202634;2022-12;;34,09456;-116,28251
AIR31240072;2022-12;;34,26271;-116,84265
AIR31255460;2022-12;;34,12911;-116,32197
AIR31262574;2022-12;;34,23971;-116,88956
AIR31263152;2022-12;;34,24886;-116,87177
AIR31296794;2022-12;;34,2376;-116,89041
AIR313045;2022-12;Tanager Drive;34,24679;-116,89187
AIR31337308;2022-12;;34,12272;-116,31668
AIR31341498;2022-12;;34,24104;-116,87731
AIR31467374;2022-12;;34,23747;-116,84782
AIR31495623;2022-12;;34,15491;-116,43771
AIR31546598;2022-12;;34,26032;-116,85729
